id,name,menu,price,feature,,
3,두근돼지김치찜 포항터미널점,[1.5인] 김치찜 set,11500,김치찜,,김치찜
4,두근돼지김치찜 포항터미널점,[2~3인] 인생 김치찜 set,21500,김치찜,,전
5,두근돼지김치찜 포항터미널점,모듬전,10500,전,,부대찌개
6,두근돼지김치찜 포항터미널점,햄사리가득 부대찌개((풀세트)) 2.5인,24900,부대찌개,,대패 삼겹살
7,백성 대패&쭈꾸미 포항대잠점,대패 백성세트 도시락(1인분),14000,대패 삼겹살,,비빔면
8,백성 대패&쭈꾸미 포항대잠점,대패 양반세트(2인분) 도시락,27000,대패 삼겹살,,짜장면
9,백성 대패&쭈꾸미 포항대잠점,백성 대쭈세트 (대패300G쭈꾸미300G)(공기밥별도),26000,"대패 삼겹살,쭈꾸미",,짬뽕
10,백성 대패&쭈꾸미 포항대잠점,비빔면 세트 (1인분) 국내최초,9800,비빔면,,볶음밥
11,홍운 반점,짜장면,5000,짜장면,,탕수육
12,홍운 반점,짬뽕,7000,짬뽕,,비빔밥
13,홍운 반점,볶음밥,6500,볶음밥,,돈까스
14,홍운 반점,등심탕수육,12000,탕수육,,스시
15,보배반점 포항시청점,보배 짜장면,6500,짜장면,,까르보나라
16,보배반점 포항시청점,소고기짬뽕,10500,짬뽕,,필라프
17,보배반점 포항시청점,중화비빔밥,10000,비빔밥,,샐러드
18,보배반점 포항시청점,찹쌀탕수육,12000,탕수육,,찜닭
19,__돈까스 포항지곡점,냉모밀/냉우동 카츠세트,13900,"돈까스,냉모밀,냉우동",,떡볶이
20,__돈까스 포항지곡점,냉모밀/냉우동 치즈세트,14500,"돈까스,냉모밀,냉우동",,치킨
21,__돈까스 포항지곡점,냉모밀/냉우동 모둠세트,14500,"돈까스,냉모밀,냉우동",,김치 
22,__돈까스 포항지곡점,파스타 카츠세트,13900,"돈까스,파스타",,스테이크
23,가정초밥,1인 오마카세 세트,17800,스시,,냉모밀
24,가정초밥,2인 오마카세 세트,32600,스시,,냉우동
25,가정초밥,모듬스시A 10p + 미니모밀,14800,"스시, 냉모밀",,파스타
26,가정초밥,모듬스시B 12p + 미니모밀,19800,"스시, 냉모밀",,소고기
27,파스토보이 효곡점,베이컨 까르보나라,10900,까르보나라,,곱창
28,파스토보이 효곡점,김치 필라프,10900,김치필라프,,대창
29,파스토보이 효곡점,목살 필라프,10900,목살필라프,,염통
30,파스토보이 효곡점,목살 스테이크 샐러드,16900,샐러드,,우삼겹
31,두찜 포항이동점,까만/빨간 찜닭 세트,27700,찜닭,,족발
32,두찜 포항이동점,묵은지찜닭 세트,31700,찜닭,,마라탕
33,두찜 포항이동점,까만/빨간 찜닭 반마리,18800,찜닭,,보쌈
34,두찜 포항이동점,로제찜닭,27800,찜닭,,마라샹궈
35,우리할매떡볶이 포항남구점,가래떡 세트,15500,떡볶이 ,,꿔바로우
36,우리할매떡볶이 포항남구점,밀떡볶이 세트,15500,떡볶이 ,,쌀국수
37,우리할매떡볶이 포항남구점,가래 떡볶이,4500,떡볶이 ,,분짜
38,우리할매떡볶이 포항남구점,밀 떡볶이,4500,떡볶이 ,,팟타이
39,원래는 치킨집을 할려고 했었다,치킨 로제떡볶이,22000,"떡볶이,치킨",,그래놀라
40,원래는 치킨집을 할려고 했었다,고기 로제떡볶이,21000,떡볶이 ,,꿀
41,원래는 치킨집을 할려고 했었다,치킨떡볶이,21000,"떡볶이,치킨",,요거트
42,원래는 치킨집을 할려고 했었다,고기떡볶이,20000,떡볶이 ,,메론
43,포항곱 효자점,모듬세트 (곱창+대창+염통+우삼겹),19000,"곱창,대창,염통,우삼겹",,샤인머스켓
44,포항곱 효자점,[한우]곱창,19000,곱창,,빙수
45,포항곱 효자점,[한우]대창,19000,대창,,치즈
46,포항곱 효자점,[한우]곱창대창전골,35000,"곱창,대창",,인절미
47,야심족발 본점,오늘 삶은 따듯한 족발,36000,족발,,아이스크림
48,야심족발 본점,나혼자 실속세트,26000,족발,,
49,야심족발 본점,반반족발,40000,족발,,
50,야심족발 본점,족발 보쌈 SET,40000,"족발,보쌈",,
51,마라공방 효자점,골라골라 마라탕,11000,마라탕,,
52,마라공방 효자점,마라샹궈,16000,마라샹궈,,
53,마라공방 효자점,꿔바로우,13000,꿔바로우,,
54,마라공방 효자점,마라탕,10000,마라탕,,
55,포메인 이동점,M1 포메인 쌀국수,12000,쌀국수,,
56,포메인 이동점,R1 소고기 볶음밥,15500,볶음밥,,
57,포메인 이동점,PS4 분짜,16500,분짜,,
58,포메인 이동점,S3 해산물 팟타이,15000,팟타이,,
59,요거트아이스크림의 정석 포항남구점,리얼벌집꿀 그래놀라 세트,9000,그래놀라 요거트,,
60,요거트아이스크림의 정석 포항남구점,입짧은햇님 세트,12000,요거트,,
61,요거트아이스크림의 정석 포항남구점,메로나 세트,14000,메론 요거트,,
62,요거트아이스크림의 정석 포항남구점,샤인폭탄 세트,14000,샤인머스켓 요거트,,
63,설빙 죽도점,애플망고치즈설빙,13900,애플망고치즈빙수,,
64,설빙 죽도점,인절미아이스크림설빙,10900,인절미아이스크림빙수,,
65,설빙 죽도점,리얼통통메론설빙,15500,메론빙수,,
66,설빙 죽도점,요거통통메론설빙,15900,메론빙수,,
